,continent,date,Cancel public events,Close public transport,Contact tracing,Containment and Health Index,Debt/contract relief,Emergency investment in health care,Fiscal measures,Income support,International support,International travel controls,Investment in Vaccines,Public information campaigns,Restrictions on gatherings,Restrictions on internal movement,School closures,Stay at home requirements,Stringency Index,Testing policy,Workplace Closures,active_cases,aged_65_older,aged_70_older,cardiovasc_death_rate,case_fatality_ratio,deaths_per_100k,diabetes_prevalence,extreme_poverty,female_smokers,gdp_per_capita,gm_Grocery & Pharmacy,gm_Parks,gm_Residential,gm_Retail & Recreation,gm_Transit Stations,gm_Workplaces,handwashing_facilities,herd_immunity_threshold,hospital_beds_per_thousand,human_development_index,infected_per_100k,latitude,life_expectancy,longitude,male_smokers,median_age,mortality_rate,new_cases,new_cases_smoothed,new_deaths,new_deaths_smoothed,new_recovered,new_recovered_smoothed,new_tests,new_tests_smoothed,percent_increase_cases,percent_pop_affected,population,population_density,positive_rate,recovered_percent,stringency_index,tests_per_case,total_cases,total_deaths,total_recovered,total_tests
10,Africa,2020-01-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.121000000000002,8.194999999999999,984.8090000000001,0.0,0.0,26.46,1.8,1.5,29802.499,0.0,0.0,0.0,0.0,0.0,0.0,215.517,236057772.11,3.5,1.982,0.0,63.93645300000001,203.56,41.137398,91.3,72.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,352325033.0,324.935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Africa,2020-01-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.121000000000002,8.194999999999999,984.8090000000001,0.0,0.0,26.46,1.8,1.5,29802.499,0.0,0.0,0.0,0.0,0.0,0.0,215.517,236057772.11,3.5,1.982,0.0,63.93645300000001,203.56,41.137398,91.3,72.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,352325033.0,324.935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Africa,2020-01-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.121000000000002,8.194999999999999,984.8090000000001,0.0,0.0,26.46,1.8,1.5,29802.499,0.0,0.0,0.0,0.0,0.0,0.0,215.517,236057772.11,3.5,1.982,0.0,63.93645300000001,203.56,41.137398,91.3,72.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,352325033.0,324.935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Africa,2020-01-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.121000000000002,8.194999999999999,984.8090000000001,0.0,0.0,26.46,1.8,1.5,29802.499,0.0,0.0,0.0,0.0,0.0,0.0,215.517,236057772.11,3.5,1.982,0.0,63.93645300000001,203.56,41.137398,91.3,72.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,352325033.0,324.935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Africa,2020-01-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.121000000000002,8.194999999999999,984.8090000000001,0.0,0.0,26.46,1.8,1.5,29802.499,0.0,0.0,0.0,0.0,0.0,0.0,215.517,236057772.11,3.5,1.982,0.0,63.93645300000001,203.56,41.137398,91.3,72.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,352325033.0,324.935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Africa,2020-01-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.121000000000002,8.194999999999999,984.8090000000001,0.0,0.0,26.46,1.8,1.5,29802.499,0.0,0.0,0.0,0.0,0.0,0.0,215.517,236057772.11,3.5,1.982,0.0,63.93645300000001,203.56,41.137398,91.3,72.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,352325033.0,324.935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,Africa,2020-01-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.121000000000002,8.194999999999999,984.8090000000001,0.0,0.0,26.46,1.8,1.5,29802.499,0.0,0.0,0.0,0.0,0.0,0.0,215.517,236057772.11,3.5,1.982,0.0,63.93645300000001,203.56,41.137398,91.3,72.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,352325033.0,324.935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Africa,2020-01-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.121000000000002,8.194999999999999,984.8090000000001,0.0,0.0,26.46,1.8,1.5,29802.499,0.0,0.0,0.0,0.0,0.0,0.0,215.517,236057772.11,3.5,1.982,0.0,63.93645300000001,203.56,41.137398,91.3,72.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,352325033.0,324.935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,Africa,2020-01-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.121000000000002,8.194999999999999,984.8090000000001,0.0,0.0,26.46,1.8,1.5,29802.499,0.0,0.0,0.0,0.0,0.0,0.0,215.517,236057772.11,3.5,1.982,0.0,63.93645300000001,203.56,41.137398,91.3,72.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,352325033.0,324.935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Africa,2020-01-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.121000000000002,8.194999999999999,984.8090000000001,0.0,0.0,26.46,1.8,1.5,29802.499,0.0,0.0,0.0,0.0,0.0,0.0,215.517,236057772.11,3.5,1.982,0.0,63.93645300000001,203.56,41.137398,91.3,72.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,352325033.0,324.935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Africa,2020-01-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.121000000000002,8.194999999999999,984.8090000000001,0.0,0.0,26.46,1.8,1.5,29802.499,0.0,0.0,0.0,0.0,0.0,0.0,215.517,236057772.11,3.5,1.982,0.0,63.93645300000001,203.56,41.137398,91.3,72.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,352325033.0,324.935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Africa,2020-01-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.121000000000002,8.194999999999999,984.8090000000001,0.0,0.0,26.46,1.8,1.5,29802.499,0.0,0.0,0.0,0.0,0.0,0.0,215.517,236057772.11,3.5,1.982,0.0,63.93645300000001,203.56,41.137398,91.3,72.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,352325033.0,324.935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Africa,2020-01-22,0.0,0.0,0.0,4.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.56,0.0,0.0,0.0,14.121000000000002,8.194999999999999,984.8090000000001,0.0,0.0,26.46,1.8,1.5,29802.499,0.0,0.0,0.0,0.0,0.0,0.0,215.517,236057772.11,3.5,1.982,0.0,63.93645300000001,203.56,41.137398,91.3,72.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,352325033.0,324.935,0.0,0.0,5.56,0.0,0.0,0.0,0.0,0.0
23,Africa,2020-01-23,0.0,0.0,0.0,4.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.56,0.0,0.0,0.0,14.121000000000002,8.194999999999999,984.8090000000001,0.0,0.0,26.46,1.8,1.5,29802.499,0.0,0.0,0.0,0.0,0.0,0.0,215.517,236057772.11,3.5,1.982,0.0,63.93645300000001,203.56,41.137398,91.3,72.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,352325033.0,324.935,0.0,0.0,5.56,0.0,0.0,0.0,0.0,0.0
24,Africa,2020-01-24,0.0,0.0,0.0,4.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.56,0.0,0.0,0.0,14.121000000000002,8.194999999999999,984.8090000000001,0.0,0.0,26.46,1.8,1.5,29802.499,0.0,0.0,0.0,0.0,0.0,0.0,215.517,236057772.11,3.5,1.982,0.0,63.93645300000001,203.56,41.137398,91.3,72.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,352325033.0,324.935,0.0,0.0,5.56,0.0,0.0,0.0,0.0,0.0
25,Africa,2020-01-25,0.0,0.0,0.0,4.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.56,0.0,0.0,0.0,14.121000000000002,8.194999999999999,984.8090000000001,0.0,0.0,26.46,1.8,1.5,29802.499,0.0,0.0,0.0,0.0,0.0,0.0,215.517,236057772.11,3.5,1.982,0.0,63.93645300000001,203.56,41.137398,91.3,72.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,352325033.0,324.935,0.0,0.0,5.56,0.0,0.0,0.0,0.0,0.0
26,Africa,2020-01-26,0.0,0.0,0.0,4.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.56,0.0,0.0,0.0,14.121000000000002,8.194999999999999,984.8090000000001,0.0,0.0,26.46,1.8,1.5,29802.499,0.0,0.0,0.0,0.0,0.0,0.0,215.517,236057772.11,3.5,1.982,0.0,63.93645300000001,203.56,41.137398,91.3,72.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,352325033.0,324.935,0.0,0.0,5.56,0.0,0.0,0.0,0.0,0.0
